nodes,edges,density,similarity_with_previous,bucket_length,bucket_num,mem_size,iters,total_msg,activated_nodes,msg_per_iter,time_per_iter
7716,11410810,0.015402738,0,7,105,5,7,3730,2989,"[2989, 529, 135, 56, 17, 3, 1]","[45, 14, 6, 4, 1, 0, 0]"
7716,11410810,0.015078392,0.9358838115479986,7,105,5,9,3781,3015,"[3015, 536, 140, 56, 11, 7, 3, 3, 10]","[45, 14, 7, 4, 1, 0, 0, 0, 2]"
7716,11410810,0.0146936495,0.9288206559665039,7,105,5,9,3810,3050,"[3050, 543, 139, 47, 11, 5, 2, 3, 10]","[46, 15, 8, 3, 1, 0, 0, 0, 2]"
7716,11410810,0.0145446,0.9157502960581966,7,105,5,8,3907,3094,"[3094, 564, 149, 62, 15, 12, 10, 1]","[48, 16, 7, 4, 1, 1, 2, 0]"
7716,11410810,0.014774431,0.9392928619079386,7,105,5,8,3970,3133,"[3133, 573, 162, 65, 16, 18, 2, 1]","[49, 16, 8, 4, 1, 2, 0, 0]"
7716,11410810,0.014636291,0.943605904793498,7,105,5,6,3986,3155,"[3155, 578, 158, 62, 18, 15]","[49, 15, 8, 4, 2, 2]"
7716,11410810,0.014415808,0.949118722979714,7,105,5,7,3981,3165,"[3165, 574, 155, 56, 16, 14, 1]","[51, 15, 8, 4, 1, 2, 0]"
7716,11410810,0.0142507795,0.9627961294627961,7,105,5,9,4012,3167,"[3167, 578, 153, 59, 29, 8, 5, 3, 10]","[52, 16, 8, 4, 3, 0, 0, 0, 2]"
7716,11410810,0.014032413,0.9569377990430622,7,105,5,7,4013,3188,"[3188, 580, 155, 57, 26, 6, 1]","[52, 17, 10, 5, 3, 0, 0]"
7716,11410810,0.0136867305,0.9276464875364195,7,105,5,9,4031,3207,"[3207, 584, 149, 57, 23, 5, 3, 1, 2]","[53, 16, 8, 4, 3, 0, 0, 0, 0]"
7716,11410810,0.013529138,0.9410905550146057,7,105,5,8,4090,3241,"[3241, 589, 153, 64, 30, 8, 3, 2]","[54, 17, 8, 4, 3, 0, 0, 0]"
7716,11410810,0.013474995,0.9296961985048513,7,105,5,11,4110,3260,"[3260, 595, 156, 61, 23, 5, 4, 1, 2, 1, 2]","[55, 17, 8, 4, 2, 0, 0, 0, 0, 0, 0]"
7716,11410810,0.013326139,0.9431962025316456,7,105,5,11,4155,3293,"[3293, 594, 150, 65, 23, 8, 9, 8, 2, 1, 2]","[58, 17, 8, 5, 2, 1, 1, 2, 0, 0, 0]"
7716,11410810,0.013158229,0.9379796397807361,7,105,5,11,4149,3285,"[3285, 588, 156, 63, 29, 17, 4, 3, 1, 2, 1]","[57, 18, 8, 5, 3, 2, 0, 0, 0, 0, 0]"
7716,11410810,0.013004346,0.9351251158480074,7,105,5,9,4200,3313,"[3313, 601, 158, 66, 33, 12, 13, 3, 1]","[57, 18, 8, 6, 3, 1, 2, 0, 0]"
7716,11410810,0.012899246,0.9382280809319435,7,105,5,9,4229,3350,"[3350, 602, 158, 67, 25, 11, 13, 2, 1]","[59, 18, 8, 5, 2, 1, 2, 0, 0]"
7716,11410810,0.012669371,0.9508347373257773,7,105,5,9,4245,3371,"[3371, 602, 155, 67, 23, 11, 13, 2, 1]","[58, 18, 8, 5, 2, 1, 2, 0, 0]"
7716,11410810,0.012325702,0.9294330518697226,7,105,5,9,4296,3410,"[3410, 608, 163, 65, 21, 9, 7, 12, 1]","[60, 18, 9, 7, 3, 1, 1, 3, 0]"
7716,11410810,0.01224947,0.9342065642878651,7,105,5,9,4311,3434,"[3434, 614, 170, 54, 16, 5, 5, 12, 1]","[61, 21, 12, 7, 2, 1, 1, 4, 0]"
7716,11410810,0.012154882,0.9437424789410349,7,105,5,8,4339,3465,"[3465, 619, 168, 52, 13, 3, 6, 13]","[64, 20, 10, 5, 1, 0, 0, 3]"
7716,11410810,0.012083511,0.9523381294964028,7,105,5,8,4353,3469,"[3469, 628, 167, 57, 12, 7, 12, 1]","[65, 20, 10, 5, 1, 0, 2, 0]"
7716,11410810,0.0118556805,0.9480958682546684,7,105,5,10,4403,3501,"[3501, 639, 168, 56, 20, 11, 3, 3, 1, 1]","[65, 22, 9, 4, 2, 1, 0, 0, 0, 0]"
7716,11410810,0.011835919,0.9440894568690096,7,105,5,8,4420,3519,"[3519, 636, 167, 59, 24, 12, 2, 1]","[74, 22, 10, 5, 2, 1, 0, 0]"
7716,11410810,0.011762886,0.9411849295369571,7,105,5,9,4463,3549,"[3549, 641, 169, 60, 23, 14, 4, 1, 2]","[66, 22, 10, 5, 2, 2, 0, 0, 0]"
7716,11410810,0.011657155,0.9321625832035122,7,105,5,9,4490,3568,"[3568, 644, 177, 60, 20, 15, 3, 1, 2]","[69, 21, 10, 5, 1, 3, 0, 0, 0]"
7716,11410810,0.011545064,0.9421768707482994,7,105,5,7,4496,3579,"[3579, 645, 177, 60, 21, 13, 1]","[69, 21, 10, 5, 2, 3, 0]"
7716,11410810,0.01141695,0.9406947190059305,7,105,5,6,4510,3593,"[3593, 648, 178, 61, 20, 10]","[68, 24, 10, 5, 1, 2]"
7716,11410810,0.0109574925,0.9491237987563595,7,105,5,6,4547,3625,"[3625, 652, 183, 59, 19, 9]","[69, 21, 11, 5, 1, 2]"
7716,11410810,0.011173362,0.9503934794828556,7,105,5,6,4574,3657,"[3657, 653, 181, 58, 17, 8]","[71, 22, 11, 5, 1, 2]"
7716,11410810,0.011081511,0.9488073650439391,7,105,5,6,4585,3665,"[3665, 653, 177, 60, 17, 13]","[70, 22, 11, 5, 1, 3]"
7716,11410810,0.011000547,0.9422117516629712,7,105,5,7,4610,3675,"[3675, 652, 177, 67, 26, 9, 4]","[71, 22, 12, 6, 3, 2, 1]"
7716,11410810,0.010970305,0.9540277777777778,7,105,5,7,4624,3693,"[3693, 655, 181, 64, 26, 4, 1]","[73, 23, 11, 5, 3, 0, 0]"
7716,11410810,0.010805235,0.9423627197165826,7,105,5,8,4697,3741,"[3741, 670, 178, 69, 23, 4, 7, 5]","[74, 23, 11, 6, 3, 0, 1, 2]"
7716,11410810,0.010697259,0.9442419333063319,7,105,5,8,4733,3775,"[3775, 677, 178, 66, 21, 4, 7, 5]","[76, 23, 11, 6, 3, 0, 1, 2]"
7716,11410810,0.010588742,0.9391374445787989,7,105,5,7,4715,3786,"[3786, 678, 179, 56, 12, 3, 1]","[74, 23, 11, 5, 1, 0, 0]"
7716,11410810,0.0105262725,0.9448248086991542,7,105,5,7,4718,3777,"[3777, 689, 175, 60, 13, 3, 1]","[75, 23, 10, 5, 1, 0, 0]"
7716,11410810,0.010459573,0.9517991407089151,7,105,5,7,4741,3783,"[3783, 693, 181, 60, 17, 6, 1]","[75, 23, 11, 6, 1, 0, 0]"
7716,11410810,0.010132311,0.9430775369065035,7,105,5,7,4785,3810,"[3810, 698, 188, 62, 22, 4, 1]","[77, 22, 10, 5, 2, 0, 0]"
7716,11410810,0.009598753,0.9130720673329826,7,105,5,8,4911,3918,"[3918, 707, 194, 67, 20, 3, 1, 1]","[76, 23, 10, 5, 1, 0, 0, 0]"
7716,11410810,0.009908801,0.9242761692650334,7,105,5,8,4960,3937,"[3937, 716, 200, 67, 19, 12, 4, 5]","[79, 27, 12, 6, 2, 3, 0, 0]"
7716,11410810,0.009937819,0.9499675955930007,7,105,5,8,5007,3965,"[3965, 721, 203, 66, 25, 13, 9, 5]","[83, 25, 13, 6, 1, 2, 1, 0]"
7716,11410810,0.009879958,0.9450885463116321,7,105,5,10,5035,3994,"[3994, 718, 203, 67, 26, 15, 4, 4, 3, 1]","[80, 26, 13, 6, 2, 4, 0, 0, 0, 0]"
7716,11410810,0.009760255,0.941904047976012,7,105,5,7,5088,4043,"[4043, 720, 208, 74, 26, 16, 1]","[82, 25, 12, 6, 1, 3, 0]"
7716,11410810,0.009722364,0.9344666173934466,7,105,5,9,5102,4054,"[4054, 728, 203, 74, 23, 10, 4, 5, 1]","[84, 27, 13, 7, 3, 2, 0, 0, 0]"
7716,11410810,0.0097163385,0.9429097605893186,7,105,5,7,5089,4083,"[4083, 718, 192, 69, 18, 7, 2]","[83, 27, 13, 6, 1, 0, 0]"
7716,11410810,0.009672703,0.946422062932815,7,105,5,7,5124,4098,"[4098, 717, 200, 68, 19, 10, 12]","[96, 26, 12, 6, 1, 1, 3]"
7716,11410810,0.009583227,0.9419770773638968,7,105,5,7,5172,4127,"[4127, 728, 203, 70, 21, 11, 12]","[89, 28, 13, 6, 1, 1, 3]"
7716,11410810,0.009221321,0.9352149577229963,7,105,5,7,5204,4155,"[4155, 733, 206, 72, 19, 8, 11]","[88, 27, 13, 6, 1, 1, 3]"
7716,11410810,0.009034236,0.9246517262265294,7,105,5,7,5229,4185,"[4185, 727, 206, 70, 22, 8, 11]","[98, 28, 13, 6, 2, 2, 5]"
7716,11410810,0.008995111,0.9414939286152336,7,105,5,7,5272,4217,"[4217, 735, 200, 72, 23, 11, 14]","[109, 33, 15, 7, 2, 1, 6]"
7716,11410810,0.008980565,0.9518351420558469,7,105,5,9,5301,4239,"[4239, 743, 204, 70, 22, 8, 13, 1, 1]","[101, 29, 15, 7, 3, 2, 5, 0, 0]"
7716,11410810,0.008940002,0.956858943286476,7,105,5,9,5330,4273,"[4273, 743, 200, 66, 24, 9, 13, 1, 1]","[95, 29, 15, 6, 2, 1, 4, 0, 0]"
7716,11410810,0.0089500835,0.9518531760219282,7,105,5,10,5333,4271,"[4271, 743, 203, 73, 17, 8, 14, 2, 1, 1]","[98, 30, 14, 7, 1, 1, 3, 0, 0, 0]"
7716,11410810,0.008904536,0.9543260741612714,7,105,5,7,5364,4308,"[4308, 747, 205, 67, 21, 15, 1]","[96, 29, 14, 7, 2, 4, 0]"
7716,11410810,0.008834722,0.9456140350877194,7,105,5,5,791,541,"[541, 175, 52, 19, 4]","[12, 8, 4, 2, 0]"
7716,11410810,0.008765325,0.9553602811950791,7,105,5,5,801,544,"[544, 177, 55, 22, 3]","[12, 8, 5, 2, 0]"
7716,11410810,0.008688872,0.9512817538568612,7,105,5,5,799,545,"[545, 176, 54, 21, 3]","[13, 8, 4, 2, 0]"
7716,11410810,0.007644157,0.9736070381231672,7,105,5,5,801,546,"[546, 176, 55, 21, 3]","[12, 9, 4, 3, 0]"
7716,11410810,0.0012797924,0.14907792980368828,7,105,5,5,798,543,"[543, 175, 56, 21, 3]","[12, 8, 4, 2, 0]"
7716,11410810,0.0023445322,0.14878686964795432,7,105,5,6,5496,4445,"[4445, 764, 199, 72, 14, 2]","[102, 33, 14, 7, 1, 0]"
7716,11410810,0.008520299,0.9567064768029399,7,105,5,8,5569,4488,"[4488, 772, 215, 72, 15, 5, 1, 1]","[110, 32, 14, 7, 1, 0, 0, 0]"
7716,11410810,0.0084504355,0.9521348314606741,7,105,5,6,5627,4530,"[4530, 779, 213, 78, 23, 4]","[102, 32, 14, 9, 4, 0]"
7716,11410810,0.0084126005,0.9605322003577818,7,105,5,7,5668,4560,"[4560, 774, 219, 81, 26, 6, 2]","[108, 32, 18, 10, 4, 0, 0]"
7716,11410810,0.008400805,0.9532556093268808,7,105,5,7,5697,4586,"[4586, 778, 224, 75, 27, 6, 1]","[110, 34, 17, 8, 4, 0, 0]"
7716,11410810,0.008332227,0.9501298139333622,7,105,5,7,5734,4624,"[4624, 781, 219, 76, 26, 7, 1]","[112, 33, 15, 8, 4, 0, 0]"
7716,11410810,0.008218373,0.947407883461868,7,105,5,7,5762,4661,"[4661, 784, 216, 68, 24, 8, 1]","[109, 30, 15, 8, 3, 0, 0]"
7716,11410810,0.008192443,0.9580652080652081,7,105,5,7,5809,4692,"[4692, 790, 221, 74, 25, 6, 1]","[115, 34, 17, 11, 5, 1, 0]"
7716,11410810,0.008114639,0.9535824550196955,7,105,5,6,5837,4719,"[4719, 786, 223, 75, 29, 5]","[117, 35, 18, 9, 4, 0]"
7716,11410810,0.008038738,0.9539633823685046,7,105,5,6,5905,4758,"[4758, 800, 229, 80, 29, 9]","[118, 39, 18, 9, 4, 1]"
7716,11410810,0.007994235,0.9550561797752809,7,105,5,6,5938,4795,"[4795, 796, 229, 78, 31, 9]","[122, 35, 17, 8, 4, 1]"
7716,11410810,0.007955551,0.9478951712752786,7,105,5,6,5982,4836,"[4836, 800, 231, 78, 31, 6]","[123, 37, 19, 10, 5, 0]"
7716,11410810,0.007982994,0.9539386528075002,7,105,5,6,5999,4850,"[4850, 806, 230, 74, 32, 7]","[123, 37, 18, 8, 5, 0]"
7716,11410810,0.007903415,0.9529578033515042,7,105,5,6,6059,4893,"[4893, 811, 229, 81, 36, 9]","[124, 38, 21, 10, 6, 1]"
7716,11410810,0.0076831942,0.9498404467491025,7,105,5,8,6133,4925,"[4925, 813, 238, 82, 37, 21, 12, 5]","[124, 37, 20, 10, 5, 2, 3, 2]"
7716,11410810,0.0076041757,0.9481752546731282,7,105,5,8,6163,4970,"[4970, 813, 235, 80, 30, 20, 13, 2]","[123, 38, 17, 8, 3, 2, 4, 0]"
7716,11410810,0.007553292,0.9505564857677534,7,105,5,8,6209,5012,"[5012, 814, 239, 85, 31, 24, 2, 2]","[128, 37, 20, 10, 5, 7, 0, 0]"
7716,11410810,0.007485792,0.9511693903513064,7,105,5,9,6258,5041,"[5041, 821, 243, 86, 32, 24, 6, 4, 1]","[134, 39, 20, 10, 3, 5, 0, 0, 0]"
7716,11410810,0.0074816532,0.9540532630962832,7,105,5,8,6285,5078,"[5078, 826, 233, 81, 32, 24, 5, 6]","[129, 38, 20, 10, 5, 6, 0, 0]"
7716,11410810,0.0074018277,0.9582728240875206,7,105,5,9,6315,5112,"[5112, 829, 234, 80, 31, 21, 3, 2, 3]","[133, 39, 21, 11, 5, 5, 0, 0, 0]"
7716,11410810,0.007404733,0.9578654381418562,7,105,5,7,6331,5142,"[5142, 834, 232, 74, 33, 15, 1]","[135, 39, 19, 9, 6, 4, 0]"
7716,11410810,0.0073071984,0.9541599161345659,7,105,5,8,6369,5179,"[5179, 834, 232, 83, 31, 7, 2, 1]","[138, 40, 20, 10, 6, 0, 0, 0]"
7716,11410810,0.0072398046,0.9542173252279635,7,105,5,8,6411,5215,"[5215, 841, 233, 77, 34, 8, 2, 1]","[135, 38, 19, 10, 6, 0, 0, 0]"
7716,11410810,0.007180681,0.9518751762383683,7,105,5,7,6499,5279,"[5279, 854, 243, 81, 34, 7, 1]","[140, 41, 21, 14, 7, 1, 0]"
7716,11410810,0.0072190547,0.9483108731770352,7,105,5,9,6539,5305,"[5305, 858, 241, 84, 27, 16, 4, 3, 1]","[138, 40, 19, 11, 3, 4, 0, 0, 0]"
7716,11410810,0.006799384,0.9520897974082861,7,105,5,8,6575,5329,"[5329, 861, 241, 89, 30, 20, 4, 1]","[142, 43, 20, 12, 4, 6, 0, 0]"
7716,11410810,0.007098766,0.9565296471444161,7,105,5,9,6612,5370,"[5370, 864, 237, 92, 32, 13, 2, 1, 1]","[148, 44, 22, 18, 8, 1, 0, 0, 0]"
7716,11410810,0.007027027,0.9543564714389009,7,105,5,9,6644,5403,"[5403, 860, 234, 95, 36, 12, 2, 1, 1]","[159, 41, 20, 12, 7, 1, 0, 0, 0]"
7716,11410810,0.0069479505,0.9504331517370724,7,105,5,7,6674,5443,"[5443, 863, 231, 92, 34, 10, 1]","[149, 41, 19, 10, 5, 0, 0]"
7716,11410810,0.006490302,0.9530750088873089,7,105,5,8,6712,5475,"[5475, 870, 231, 94, 32, 6, 3, 1]","[145, 40, 20, 12, 6, 0, 0, 0]"
7716,11410810,0.006781435,0.9491315136476427,7,105,5,8,6775,5520,"[5520, 871, 238, 95, 37, 9, 4, 1]","[150, 41, 19, 10, 5, 0, 0, 0]"
7716,11410810,0.0067723505,0.9539304978335839,7,105,5,7,6804,5540,"[5540, 873, 244, 94, 36, 10, 7]","[148, 52, 23, 13, 7, 0, 0]"
7716,11410810,0.0053713038,0.9562082307421738,7,105,5,7,6856,5598,"[5598, 888, 237, 87, 33, 9, 4]","[154, 41, 20, 12, 6, 0, 0]"
7716,11410810,0.0066501363,0.9539093930383068,7,105,5,7,6886,5631,"[5631, 897, 232, 84, 31, 7, 4]","[150, 43, 19, 11, 5, 0, 0]"
7716,11410810,0.0065982128,0.9455577535047733,7,105,5,8,6985,5676,"[5676, 902, 251, 94, 38, 17, 4, 3]","[162, 45, 26, 13, 7, 3, 0, 0]"
7716,11410810,0.006602558,0.9462973908638014,7,105,5,11,7043,5736,"[5736, 901, 248, 88, 38, 19, 3, 4, 3, 2, 1]","[165, 52, 35, 15, 8, 5, 0, 0, 0, 0, 0]"
7716,11410810,0.0065758913,0.9496865858754702,7,105,5,10,6999,5725,"[5725, 877, 242, 86, 37, 15, 5, 7, 3, 2]","[166, 44, 23, 13, 8, 3, 0, 1, 0, 0]"
7716,11410810,0.006514058,0.9471632382216324,7,105,5,10,7075,5775,"[5775, 890, 251, 90, 35, 17, 5, 7, 3, 2]","[167, 45, 24, 15, 8, 4, 0, 0, 0, 0]"
7716,11410810,0.006441304,0.9500206185567011,7,105,5,7,2552,1930,"[1930, 423, 124, 44, 16, 13, 2]","[61, 25, 11, 7, 2, 3, 0]"
7716,11410810,0.006263662,0.904296572049015,7,105,5,8,2630,1990,"[1990, 430, 118, 46, 26, 11, 5, 4]","[66, 27, 12, 6, 5, 3, 0, 0]"
7716,11410810,0.0051846895,0.9348243793713013,7,105,5,7,2613,1998,"[1998, 425, 113, 43, 20, 7, 7]","[61, 26, 11, 6, 4, 0, 0]"
7716,11410810,0.0060764854,0.932555319793877,7,105,5,9,2660,2039,"[2039, 432, 109, 42, 20, 4, 4, 5, 5]","[69, 27, 12, 7, 4, 1, 1, 1, 2]"
