nodes,edges,bucket_length,bucket_num,mem_size,iters,total_msg,activated_nodes,msg_per_iter,time_per_iter
7716,11410810,7,105,5,1,0,0,"[0]","[0]"
7716,11410810,7,105,5,1,0,0,"[0]","[0]"
7716,11410810,7,105,5,1,0,0,"[0]","[0]"
7716,11410810,7,105,5,1,0,0,"[0]","[0]"
7716,11410810,7,105,5,7,3730,562,"[2989, 529, 135, 56, 17, 3, 1]","[76, 24, 11, 6, 2, 0, 0]"
7716,11410810,7,105,5,9,3781,570,"[3015, 536, 140, 56, 11, 7, 3, 3, 10]","[30, 22, 11, 6, 1, 1, 1, 1, 3]"
7716,11410810,7,105,5,9,3810,570,"[3050, 543, 139, 47, 11, 5, 2, 3, 10]","[32, 23, 11, 5, 1, 0, 0, 0, 3]"
7716,11410810,7,105,5,8,3907,601,"[3094, 564, 149, 62, 15, 12, 10, 1]","[31, 24, 11, 7, 1, 2, 3, 0]"
7716,11410810,7,105,5,8,3970,616,"[3133, 573, 162, 65, 16, 18, 2, 1]","[32, 25, 12, 7, 1, 3, 0, 0]"
7716,11410810,7,105,5,6,3986,620,"[3155, 578, 158, 62, 18, 15]","[32, 25, 12, 6, 2, 3]"
7716,11410810,7,105,5,7,3981,612,"[3165, 574, 155, 56, 16, 14, 1]","[32, 24, 12, 5, 1, 3, 0]"
7716,11410810,7,105,5,9,4012,617,"[3167, 578, 153, 59, 29, 8, 5, 3, 10]","[33, 26, 12, 6, 4, 1, 0, 0, 3]"
7716,11410810,7,105,5,7,4013,616,"[3188, 580, 155, 57, 26, 6, 1]","[33, 24, 11, 6, 7, 1, 0]"
7716,11410810,7,105,5,9,4031,619,"[3207, 584, 149, 57, 23, 5, 3, 1, 2]","[35, 26, 12, 6, 4, 0, 0, 0, 0]"
7716,11410810,7,105,5,8,4090,624,"[3241, 589, 153, 64, 30, 8, 3, 2]","[35, 26, 12, 6, 4, 0, 0, 0]"
7716,11410810,7,105,5,11,4110,633,"[3260, 595, 156, 61, 23, 5, 4, 1, 2, 1, 2]","[34, 26, 12, 7, 4, 0, 0, 0, 0, 0, 0]"
7716,11410810,7,105,5,11,4155,632,"[3293, 594, 150, 65, 23, 8, 9, 8, 2, 1, 2]","[36, 26, 12, 7, 4, 1, 1, 2, 0, 0, 0]"
7716,11410810,7,105,5,11,4149,630,"[3285, 588, 156, 63, 29, 17, 4, 3, 1, 2, 1]","[36, 27, 15, 8, 4, 4, 0, 0, 0, 0, 0]"
7716,11410810,7,105,5,9,4200,639,"[3313, 601, 158, 66, 33, 12, 13, 3, 1]","[38, 27, 12, 7, 5, 1, 3, 0, 0]"
7716,11410810,7,105,5,9,4229,640,"[3350, 602, 158, 67, 25, 11, 13, 2, 1]","[37, 27, 13, 7, 3, 1, 3, 0, 0]"
7716,11410810,7,105,5,9,4245,641,"[3371, 602, 155, 67, 23, 11, 13, 2, 1]","[37, 26, 12, 7, 3, 1, 3, 0, 0]"
7716,11410810,7,105,5,9,4296,653,"[3410, 608, 163, 65, 21, 9, 7, 12, 1]","[39, 29, 13, 8, 3, 1, 1, 3, 0]"
7716,11410810,7,105,5,9,4311,663,"[3434, 614, 170, 54, 16, 5, 5, 12, 1]","[39, 29, 14, 6, 3, 1, 1, 4, 0]"
7716,11410810,7,105,5,8,4339,668,"[3465, 619, 168, 52, 13, 3, 6, 13]","[40, 29, 14, 6, 1, 0, 1, 3]"
7716,11410810,7,105,5,8,4353,675,"[3469, 628, 167, 57, 12, 7, 12, 1]","[42, 30, 15, 7, 2, 1, 3, 0]"
7716,11410810,7,105,5,10,4403,687,"[3501, 639, 168, 56, 20, 11, 3, 3, 1, 1]","[41, 31, 14, 6, 3, 2, 0, 0, 0, 0]"
7716,11410810,7,105,5,8,4420,682,"[3519, 636, 167, 59, 24, 12, 2, 1]","[40, 30, 15, 7, 3, 2, 0, 0]"
7716,11410810,7,105,5,9,4463,687,"[3549, 641, 169, 60, 23, 14, 4, 1, 2]","[43, 43, 26, 7, 3, 3, 0, 0, 0]"
7716,11410810,7,105,5,9,4490,693,"[3568, 644, 177, 60, 20, 15, 3, 1, 2]","[43, 31, 15, 8, 4, 6, 0, 0, 0]"
7716,11410810,7,105,5,7,4496,691,"[3579, 645, 177, 60, 21, 13, 1]","[45, 33, 15, 7, 3, 3, 0]"
7716,11410810,7,105,5,6,4510,690,"[3593, 648, 178, 61, 20, 10]","[43, 32, 15, 8, 2, 3]"
7716,11410810,7,105,5,6,4547,695,"[3625, 652, 183, 59, 19, 9]","[42, 32, 16, 8, 2, 3]"
7716,11410810,7,105,5,6,4574,702,"[3657, 653, 181, 58, 17, 8]","[45, 33, 17, 9, 2, 3]"
7716,11410810,7,105,5,6,4585,701,"[3665, 653, 177, 60, 17, 13]","[48, 32, 16, 8, 2, 4]"
7716,11410810,7,105,5,7,4610,702,"[3675, 652, 177, 67, 26, 9, 4]","[48, 34, 15, 8, 4, 2, 1]"
7716,11410810,7,105,5,7,4624,705,"[3693, 655, 181, 64, 26, 4, 1]","[45, 32, 16, 8, 5, 0, 0]"
7716,11410810,7,105,5,8,4697,717,"[3741, 670, 178, 69, 23, 4, 7, 5]","[48, 34, 16, 8, 4, 1, 2, 2]"
7716,11410810,7,105,5,8,4733,719,"[3775, 677, 178, 66, 21, 4, 7, 5]","[49, 34, 16, 8, 4, 1, 2, 2]"
7716,11410810,7,105,5,7,4715,718,"[3786, 678, 179, 56, 12, 3, 1]","[49, 36, 16, 7, 1, 0, 0]"
7716,11410810,7,105,5,7,4718,729,"[3777, 689, 175, 60, 13, 3, 1]","[46, 36, 15, 8, 1, 0, 0]"
7716,11410810,7,105,5,7,4741,736,"[3783, 693, 181, 60, 17, 6, 1]","[48, 37, 16, 8, 2, 0, 0]"
7716,11410810,7,105,5,7,4785,745,"[3810, 698, 188, 62, 22, 4, 1]","[48, 35, 16, 8, 4, 0, 0]"
7716,11410810,7,105,5,8,4911,758,"[3918, 707, 194, 67, 20, 3, 1, 1]","[48, 36, 16, 8, 2, 0, 0, 0]"
7716,11410810,7,105,5,8,4960,765,"[3937, 716, 200, 67, 19, 12, 4, 5]","[53, 39, 20, 9, 3, 6, 1, 1]"
7716,11410810,7,105,5,8,5007,773,"[3965, 721, 203, 66, 25, 13, 9, 5]","[51, 40, 18, 8, 2, 3, 2, 0]"
7716,11410810,7,105,5,10,5035,771,"[3994, 718, 203, 67, 26, 15, 4, 4, 3, 1]","[52, 39, 19, 9, 3, 4, 0, 0, 0, 0]"
7716,11410810,7,105,5,7,5088,776,"[4043, 720, 208, 74, 26, 16, 1]","[52, 44, 21, 11, 3, 6, 0]"
7716,11410810,7,105,5,9,5102,783,"[4054, 728, 203, 74, 23, 10, 4, 5, 1]","[58, 43, 22, 11, 5, 3, 0, 0, 0]"
7716,11410810,7,105,5,7,5089,771,"[4083, 718, 192, 69, 18, 7, 2]","[54, 39, 18, 9, 1, 0, 0]"
7716,11410810,7,105,5,7,5124,769,"[4098, 717, 200, 68, 19, 10, 12]","[55, 40, 19, 9, 2, 1, 4]"
7716,11410810,7,105,5,7,5172,791,"[4127, 728, 203, 70, 21, 11, 12]","[54, 41, 19, 9, 2, 1, 4]"
7716,11410810,7,105,5,7,5204,796,"[4155, 733, 206, 72, 19, 8, 11]","[58, 42, 19, 9, 2, 1, 5]"
7716,11410810,7,105,5,7,5229,793,"[4185, 727, 206, 70, 22, 8, 11]","[57, 41, 19, 9, 2, 1, 5]"
7716,11410810,7,105,5,7,5272,800,"[4217, 735, 200, 72, 23, 11, 14]","[59, 42, 19, 8, 2, 1, 5]"
7716,11410810,7,105,5,9,5301,806,"[4239, 743, 204, 70, 22, 8, 13, 1, 1]","[58, 44, 19, 9, 2, 1, 4, 0, 0]"
7716,11410810,7,105,5,9,5330,799,"[4273, 743, 200, 66, 24, 9, 13, 1, 1]","[61, 43, 19, 9, 2, 1, 5, 0, 0]"
7716,11410810,7,105,5,10,5333,799,"[4271, 743, 203, 73, 17, 8, 14, 2, 1, 1]","[62, 46, 20, 10, 2, 1, 5, 0, 0, 0]"
7716,11410810,7,105,5,7,5364,803,"[4308, 747, 205, 67, 21, 15, 1]","[60, 48, 29, 10, 2, 6, 0]"
7716,11410810,7,105,5,5,791,192,"[541, 175, 52, 19, 4]","[10, 13, 7, 4, 0]"
7716,11410810,7,105,5,5,801,193,"[544, 177, 55, 22, 3]","[10, 12, 6, 3, 0]"
7716,11410810,7,105,5,5,799,193,"[545, 176, 54, 21, 3]","[10, 12, 6, 3, 0]"
7716,11410810,7,105,5,5,801,195,"[546, 176, 55, 21, 3]","[11, 12, 6, 4, 0]"
7716,11410810,7,105,5,5,798,194,"[543, 175, 56, 21, 3]","[11, 12, 6, 4, 0]"
7716,11410810,7,105,5,6,5496,816,"[4445, 764, 199, 72, 14, 2]","[73, 48, 21, 10, 1, 0]"
7716,11410810,7,105,5,8,5569,826,"[4488, 772, 215, 72, 15, 5, 1, 1]","[66, 46, 21, 10, 1, 0, 0, 0]"
7716,11410810,7,105,5,6,5627,836,"[4530, 779, 213, 78, 23, 4]","[68, 48, 22, 12, 4, 0]"
7716,11410810,7,105,5,7,5668,831,"[4560, 774, 219, 81, 26, 6, 2]","[71, 52, 24, 13, 5, 0, 0]"
7716,11410810,7,105,5,7,5697,834,"[4586, 778, 224, 75, 27, 6, 1]","[71, 51, 25, 13, 6, 1, 0]"
7716,11410810,7,105,5,7,5734,833,"[4624, 781, 219, 76, 26, 7, 1]","[72, 50, 23, 12, 5, 1, 0]"
7716,11410810,7,105,5,7,5762,836,"[4661, 784, 216, 68, 24, 8, 1]","[73, 52, 25, 12, 5, 1, 0]"
7716,11410810,7,105,5,7,5809,842,"[4692, 790, 221, 74, 25, 6, 1]","[73, 52, 24, 12, 5, 0, 0]"
7716,11410810,7,105,5,6,5837,846,"[4719, 786, 223, 75, 29, 5]","[73, 49, 26, 16, 6, 0]"
